ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
4798,Ammo,1449964800000,310,310,310,305,305,310,306.8333333333333,
4798,Ammo,1450051200000,310,310,310,305,305,310,307,
4798,Ammo,1450137600000,310,310,310,305,305,310,307.1666666666667,
4798,Ammo,1450224000000,310,310,310,305,305,310,307.3333333333333,
4798,Ammo,1450310400000,310,310,310,305,305,310,307.5,
4798,Ammo,1450396800000,310,310,310,305,305,310,307.6666666666667,
4798,Ammo,1450483200000,310,310,310,305,305,310,307.8333333333333,
4798,Ammo,1450569600000,310,310,310,305,305,310,308,
4798,Ammo,1450656000000,310,310,310,305,305,310,308.1666666666667,
4798,Ammo,1450742400000,310,310,310,305,305,310,308.3333333333333,
4798,Ammo,1450828800000,310,310,310,305,305,310,308.5,
4798,Ammo,1450915200000,310,310,310,305,305,310,308.6666666666667,
4798,Ammo,1451001600000,310,310,310,305,305,310,308.8333333333333,
4798,Ammo,1451088000000,310,310,310,305,305,310,309,
4798,Ammo,1451174400000,310,310,310,305,305,310,309.1666666666667,
4798,Ammo,1451260800000,310,310,310,305,305,310,309.3333333333333,
4798,Ammo,1451347200000,310,310,310,305,305,310,309.5,
4798,Ammo,1451433600000,310,310,310,305,305,310,309.6666666666667,
4798,Ammo,1451520000000,310,310,310,305,305,310,309.8333333333333,
4798,Ammo,1451606400000,319,310,310,310,310,310,310,
4798,Ammo,1451692800000,319,319,310,310,310,319,310.3,
4798,Ammo,1451779200000,319,319,310,310,310,319,310.6,
4798,Ammo,1451865600000,319,319,310,310,310,319,310.9,
4798,Ammo,1451952000000,319,319,310,310,310,319,311.2,
4798,Ammo,1452038400000,319,319,310,310,310,319,311.5,
4798,Ammo,1452124800000,319,319,310,310,310,319,311.8,
4798,Ammo,1452211200000,319,319,319,310,310,319,312.1,
4798,Ammo,1452297600000,319,319,319,310,310,319,312.4,
4798,Ammo,1452384000000,319,319,319,310,310,319,312.7,
4798,Ammo,1452470400000,319,319,319,310,310,319,313,
4798,Ammo,1452556800000,319,319,319,310,310,319,313.3,
4798,Ammo,1452643200000,319,319,319,310,310,319,313.6,
4798,Ammo,1452729600000,319,319,319,310,310,319,313.9,
4798,Ammo,1452816000000,319,319,319,310,310,319,314.2,
4798,Ammo,1452902400000,319,319,319,310,310,319,314.5,
4798,Ammo,1452988800000,319,319,319,310,310,319,314.8,
4798,Ammo,1453075200000,319,319,319,310,310,319,315.1,
4798,Ammo,1453161600000,319,319,319,310,310,319,315.4,
4798,Ammo,1453248000000,319,319,319,310,310,319,315.7,
4798,Ammo,1453334400000,319,319,319,310,310,319,316,
4798,Ammo,1453420800000,319,319,319,310,310,319,316.3,
4798,Ammo,1453507200000,319,319,319,310,310,319,316.6,
4798,Ammo,1453593600000,319,319,319,310,310,319,316.9,
4798,Ammo,1453680000000,319,319,319,310,310,319,317.2,
4798,Ammo,1453766400000,319,319,319,310,310,319,317.5,
4798,Ammo,1453852800000,319,319,319,310,310,319,317.8,
4798,Ammo,1453939200000,319,319,319,310,310,319,318.1,
4798,Ammo,1454025600000,326,319,319,310,310,319,318.4,
4798,Ammo,1454112000000,326,326,319,310,310,326,318.93333333333334,
4798,Ammo,1454198400000,326,326,319,319,319,326,319.46666666666664,
4798,Ammo,1454284800000,326,326,319,319,319,326,319.7,
4798,Ammo,1454371200000,326,326,319,319,319,326,319.93333333333334,
4798,Ammo,1454457600000,326,326,319,319,319,326,320.1666666666667,
4798,Ammo,1454544000000,326,326,319,319,319,326,320.4,
4798,Ammo,1454630400000,326,326,326,319,319,326,320.6333333333333,
4798,Ammo,1454716800000,326,326,326,319,319,326,320.8666666666667,
4798,Ammo,1454803200000,326,326,326,319,319,326,321.1,
4798,Ammo,1454889600000,326,326,326,319,319,326,321.3333333333333,
4798,Ammo,1454976000000,326,326,326,319,319,326,321.56666666666666,
4798,Ammo,1455062400000,326,326,326,319,319,326,321.8,
4798,Ammo,1455148800000,326,326,326,319,319,326,322.03333333333336,
4798,Ammo,1455235200000,326,326,326,319,319,326,322.26666666666665,
4798,Ammo,1455321600000,326,326,326,319,319,326,322.5,
4798,Ammo,1455408000000,326,326,326,319,319,326,322.73333333333335,
4798,Ammo,1455494400000,326,326,326,319,319,326,322.96666666666664,
4798,Ammo,1455580800000,326,326,326,319,319,326,323.2,
4798,Ammo,1455667200000,326,326,326,319,319,326,323.43333333333334,
4798,Ammo,1455753600000,326,326,326,319,319,326,323.6666666666667,
4798,Ammo,1455840000000,326,326,326,319,319,326,323.9,
4798,Ammo,1455926400000,326,326,326,319,319,326,324.1333333333333,
4798,Ammo,1456012800000,326,326,326,319,319,326,324.3666666666667,
