ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
12037,Familiars,1449964800000,6580,6580,6703,6974,6473,6974,6718.833333333333,
12037,Familiars,1450051200000,6580,6580,6624,6974,6473,6974,6705.7,
12037,Familiars,1450137600000,6429,6580,6624,6870,6473,6917,6692.566666666667,
12037,Familiars,1450224000000,6429,6429,6624,6870,6429,6917,6677.866666666667,
12037,Familiars,1450310400000,6404,6429,6473,6876,6429,6917,6663.166666666667,
12037,Familiars,1450396800000,6404,6404,6473,6876,6404,6917,6647.433333333333,
12037,Familiars,1450483200000,6404,6404,6580,6876,6404,6917,6631.7,
12037,Familiars,1450569600000,6668,6404,6580,6876,6404,6917,6615.966666666666,
12037,Familiars,1450656000000,6668,6668,6580,6629,6404,6917,6609.033333333334,
12037,Familiars,1450742400000,6808,6668,6429,6629,6404,6917,6610.333333333333,
12037,Familiars,1450828800000,6808,6808,6429,6620,6404,6917,6616.3,
12037,Familiars,1450915200000,7137,6808,6404,6620,6404,6917,6622.566666666667,
12037,Familiars,1451001600000,7137,7137,6404,6620,6404,7137,6639.8,
12037,Familiars,1451088000000,7178,7137,6404,6513,6404,7137,6657.033333333334,
12037,Familiars,1451174400000,7178,7178,6668,6513,6404,7178,6679.2,
12037,Familiars,1451260800000,7347,7178,6668,6513,6404,7178,6701.366666666667,
12037,Familiars,1451347200000,7347,7347,6808,6729,6404,7347,6729.166666666667,
12037,Familiars,1451433600000,7663,7347,6808,6729,6404,7347,6749.766666666666,
12037,Familiars,1451520000000,7663,7663,7137,6917,6404,7663,6780.9,
12037,Familiars,1451606400000,7735,7663,7137,6917,6404,7663,6805.766666666666,
12037,Familiars,1451692800000,7675,7735,7178,6917,6404,7735,6833.033333333334,
12037,Familiars,1451779200000,7614,7675,7178,6703,6404,7735,6858.3,
12037,Familiars,1451865600000,7614,7614,7347,6703,6404,7735,6888.666666666667,
12037,Familiars,1451952000000,7961,7614,7347,6703,6404,7735,6919.033333333334,
12037,Familiars,1452038400000,7961,7961,7663,6624,6404,7961,6960.966666666666,
12037,Familiars,1452124800000,7644,7961,7663,6624,6404,7961,7005.533333333334,
12037,Familiars,1452211200000,7644,7644,7735,6624,6404,7961,7039.533333333334,
12037,Familiars,1452297600000,7340,7644,7675,6473,6404,7961,7073.533333333334,
12037,Familiars,1452384000000,7340,7340,7614,6473,6404,7961,7102.433333333333,
12037,Familiars,1452470400000,7057,7340,7614,6580,6404,7961,7131.333333333333,
12037,Familiars,1452556800000,7057,7057,7961,6580,6404,7961,7147.233333333334,
12037,Familiars,1452643200000,6810,7057,7961,6580,6404,7961,7163.133333333333,
12037,Familiars,1452729600000,6810,6810,7644,6429,6404,7961,7170.8,
12037,Familiars,1452816000000,6810,6810,7644,6429,6404,7961,7183.5,
12037,Familiars,1452902400000,6596,6810,7340,6404,6404,7961,7196.2,
12037,Familiars,1452988800000,6596,6596,7340,6404,6404,7961,7202.6,
12037,Familiars,1453075200000,6514,6596,7057,6404,6404,7961,7209,
12037,Familiars,1453161600000,6514,6514,7057,6668,6514,7961,7212.666666666667,
12037,Familiars,1453248000000,6520,6514,6810,6668,6514,7961,7207.533333333334,
12037,Familiars,1453334400000,6520,6520,6810,6808,6514,7961,7202.6,
12037,Familiars,1453420800000,6692,6520,6810,6808,6514,7961,7193,
12037,Familiars,1453507200000,6692,6692,6596,7137,6514,7961,7189.133333333333,
12037,Familiars,1453593600000,7023,6692,6596,7137,6514,7961,7174.3,
12037,Familiars,1453680000000,7023,7023,6514,7178,6514,7961,7170.5,
12037,Familiars,1453766400000,7363,7023,6514,7178,6514,7961,7165.333333333333,
12037,Familiars,1453852800000,7363,7363,6520,7347,6514,7961,7171.5,
12037,Familiars,1453939200000,7505,7363,6520,7347,6514,7961,7172.033333333334,
12037,Familiars,1454025600000,7505,7505,6692,7663,6514,7961,7177.3,
12037,Familiars,1454112000000,7783,7505,6692,7663,6514,7961,7172.033333333334,
12037,Familiars,1454198400000,7783,7783,7023,7735,6514,7961,7176.033333333334,
12037,Familiars,1454284800000,8118,7783,7023,7675,6514,7961,7177.633333333333,
12037,Familiars,1454371200000,8118,8118,7363,7614,6514,8118,7192.4,
12037,Familiars,1454457600000,7945,8118,7363,7614,6514,8118,7209.2,
