ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
30828,Mage weapons,1449964800000,215246,208162,227238,183193,183193,235419,212149.4,
30828,Mage weapons,1450051200000,215246,215246,219383,186971,186971,235419,213217.83333333334,
30828,Mage weapons,1450137600000,224685,215246,210201,190959,190959,235419,214160.33333333334,
30828,Mage weapons,1450224000000,234673,224685,210201,192815,192815,235419,215284.53333333333,
30828,Mage weapons,1450310400000,244859,234673,200497,198289,198289,235419,216679.8,
30828,Mage weapons,1450396800000,244859,244859,201766,198289,198289,244859,218232.13333333333,
30828,Mage weapons,1450483200000,253544,244859,208162,202288,200497,244859,219784.46666666667,
30828,Mage weapons,1450569600000,253544,253544,215246,202288,200497,253544,221493,
30828,Mage weapons,1450656000000,255816,253544,215246,206202,200497,253544,223201.53333333333,
30828,Mage weapons,1450742400000,264179,255816,224685,206202,200497,255816,224855.33333333334,
30828,Mage weapons,1450828800000,264179,264179,234673,208600,200497,264179,226787.9,
30828,Mage weapons,1450915200000,271824,264179,244859,208600,200497,264179,228640.53333333333,
30828,Mage weapons,1451001600000,271728,271824,244859,213309,200497,271824,230748,
30828,Mage weapons,1451088000000,271728,271728,253544,216389,200497,271824,232695.3,
30828,Mage weapons,1451174400000,272237,271728,253544,221415,200497,271824,234539.93333333332,
30828,Mage weapons,1451260800000,274311,272237,255816,221415,200497,272237,236234,
30828,Mage weapons,1451347200000,276446,274311,264179,226152,200497,274311,237997.2,
30828,Mage weapons,1451433600000,268887,276446,264179,231015,200497,276446,239673.66666666666,
30828,Mage weapons,1451520000000,260480,268887,271824,231015,200497,276446,240936.06666666668,
30828,Mage weapons,1451606400000,260480,260480,271728,235395,200497,276446,241918.23333333334,
30828,Mage weapons,1451692800000,260263,260480,271728,235395,200497,276446,242754.4,
30828,Mage weapons,1451779200000,262043,260263,272237,235419,200497,276446,243583.33333333334,
30828,Mage weapons,1451865600000,254927,262043,274311,235419,200497,276446,244470.8,
30828,Mage weapons,1451952000000,254927,254927,276446,227238,200497,276446,245121.06666666668,
30828,Mage weapons,1452038400000,251706,254927,268887,219383,200497,276446,246044.03333333333,
30828,Mage weapons,1452124800000,251716,251706,260480,210201,200497,276446,247121.46666666667,
30828,Mage weapons,1452211200000,252925,251716,260480,210201,200497,276446,248505.3,
30828,Mage weapons,1452297600000,252925,252925,260263,200497,200497,276446,249929.43333333332,
30828,Mage weapons,1452384000000,248991,252925,262043,201766,201766,276446,251677.03333333333,
30828,Mage weapons,1452470400000,246212,248991,254927,208162,208162,276446,253251.2,
