ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
20133,Melee armour - high level,1449964800000,35571,35571,37299,43260,35571,43260,39435.933333333334,
20133,Melee armour - high level,1450051200000,34996,35571,36372,43260,35571,43260,39179.63333333333,
20133,Melee armour - high level,1450137600000,34996,34996,36372,43260,34996,43260,38904.166666666664,
20133,Melee armour - high level,1450224000000,34996,34996,36372,43260,34996,43260,38628.7,
20133,Melee armour - high level,1450310400000,34996,34996,36372,41795,34996,41795,38353.23333333333,
20133,Melee armour - high level,1450396800000,34400,34996,35571,41795,34996,41795,38126.6,
20133,Melee armour - high level,1450483200000,34400,34400,35571,41795,34400,41795,37880.1,
20133,Melee armour - high level,1450569600000,34400,34400,35571,41795,34400,41795,37633.6,
20133,Melee armour - high level,1450656000000,34400,34400,34996,41795,34400,41795,37387.1,
20133,Melee armour - high level,1450742400000,33697,34400,34996,40968,34400,40968,37140.6,
20133,Melee armour - high level,1450828800000,33697,33697,34996,40968,33697,40968,36898.23333333333,
20133,Melee armour - high level,1450915200000,33697,33697,34996,40968,33697,40968,36655.86666666667,
20133,Melee armour - high level,1451001600000,32670,33697,34400,40968,33697,40968,36413.5,
20133,Melee armour - high level,1451088000000,32670,32670,34400,40968,32670,40968,36136.9,
20133,Melee armour - high level,1451174400000,32670,32670,34400,38964,32670,38964,35860.3,
20133,Melee armour - high level,1451260800000,32670,32670,34400,38964,32670,38964,35650.5,
20133,Melee armour - high level,1451347200000,32325,32670,33697,38964,32670,38964,35440.7,
20133,Melee armour - high level,1451433600000,32325,32325,33697,38964,32325,38964,35219.4,
20133,Melee armour - high level,1451520000000,32325,32325,33697,37280,32325,37299,34998.1,
20133,Melee armour - high level,1451606400000,32325,32325,32670,37280,32325,37299,34832.933333333334,
20133,Melee armour - high level,1451692800000,31459,32325,32670,37280,32325,37299,34667.76666666667,
20133,Melee armour - high level,1451779200000,31459,31459,32670,37299,31459,37299,34473.73333333333,
20133,Melee armour - high level,1451865600000,31459,31459,32670,37299,31459,37299,34279.066666666666,
20133,Melee armour - high level,1451952000000,31308,31459,32325,37299,31459,37299,34084.4,
20133,Melee armour - high level,1452038400000,31308,31308,32325,36372,31308,36372,33884.7,
20133,Melee armour - high level,1452124800000,31308,31308,32325,36372,31308,36372,33715.9,
20133,Melee armour - high level,1452211200000,31308,31308,32325,36372,31308,36372,33547.1,
20133,Melee armour - high level,1452297600000,30918,31308,31459,36372,31308,36372,33378.3,
20133,Melee armour - high level,1452384000000,30918,30918,31459,35571,30918,35571,33196.5,
20133,Melee armour - high level,1452470400000,30918,30918,31459,35571,30918,35571,33041.4,
