ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
1317,Melee weapons - low level,1449964800000,3229,3251,3309,3296,3180,3430,3299.9666666666667,
1317,Melee weapons - low level,1450051200000,3252,3229,3299,3286,3180,3430,3297.733333333333,
1317,Melee weapons - low level,1450137600000,3135,3252,3263,3294,3180,3430,3296.6,
1317,Melee weapons - low level,1450224000000,3147,3135,3309,3312,3135,3430,3291.3,
1317,Melee weapons - low level,1450310400000,3165,3147,3278,3375,3135,3430,3285.8,
1317,Melee weapons - low level,1450396800000,3174,3165,3224,3346,3135,3430,3278.8,
1317,Melee weapons - low level,1450483200000,3176,3174,3251,3247,3135,3430,3273.0666666666666,
1317,Melee weapons - low level,1450569600000,3253,3176,3229,3337,3135,3430,3270.7,
1317,Melee weapons - low level,1450656000000,3271,3253,3252,3430,3135,3430,3267.9,
1317,Melee weapons - low level,1450742400000,3315,3271,3135,3372,3135,3372,3262.6,
1317,Melee weapons - low level,1450828800000,3312,3315,3147,3319,3135,3370,3260.7,
1317,Melee weapons - low level,1450915200000,3273,3312,3165,3370,3135,3370,3260.4666666666667,
1317,Melee weapons - low level,1451001600000,3190,3273,3174,3324,3135,3335,3257.233333333333,
1317,Melee weapons - low level,1451088000000,3265,3190,3176,3325,3135,3335,3252.766666666667,
1317,Melee weapons - low level,1451174400000,3184,3265,3253,3330,3135,3335,3250.766666666667,
1317,Melee weapons - low level,1451260800000,3214,3184,3271,3335,3135,3335,3245.9,
1317,Melee weapons - low level,1451347200000,3220,3214,3315,3316,3135,3316,3241.866666666667,
1317,Melee weapons - low level,1451433600000,3224,3220,3312,3295,3135,3315,3238.6666666666665,
1317,Melee weapons - low level,1451520000000,3162,3224,3273,3231,3135,3315,3236.3,
1317,Melee weapons - low level,1451606400000,3193,3162,3190,3180,3135,3315,3234,
1317,Melee weapons - low level,1451692800000,3155,3193,3265,3265,3135,3315,3234.4333333333334,
1317,Melee weapons - low level,1451779200000,3184,3155,3184,3227,3135,3315,3230.766666666667,
1317,Melee weapons - low level,1451865600000,3212,3184,3214,3254,3135,3315,3229.3333333333335,
1317,Melee weapons - low level,1451952000000,3154,3212,3220,3309,3135,3315,3227.9333333333334,
1317,Melee weapons - low level,1452038400000,3200,3154,3224,3299,3135,3315,3222.766666666667,
1317,Melee weapons - low level,1452124800000,3189,3200,3162,3263,3135,3315,3219.4666666666667,
1317,Melee weapons - low level,1452211200000,3224,3189,3193,3309,3135,3315,3217,
1317,Melee weapons - low level,1452297600000,3290,3224,3155,3278,3135,3315,3214.1666666666665,
1317,Melee weapons - low level,1452384000000,3295,3290,3184,3224,3135,3315,3214.5666666666666,
1317,Melee weapons - low level,1452470400000,3309,3295,3212,3251,3135,3315,3216.9333333333334,
1317,Melee weapons - low level,1452556800000,3377,3309,3154,3229,3135,3315,3218.866666666667,
1317,Melee weapons - low level,1452643200000,3343,3377,3200,3252,3135,3377,3223.8,
1317,Melee weapons - low level,1452729600000,3409,3343,3189,3135,3135,3377,3226.8333333333335,
1317,Melee weapons - low level,1452816000000,3335,3409,3224,3147,3147,3409,3235.9666666666667,
1317,Melee weapons - low level,1452902400000,3394,3335,3290,3165,3154,3409,3242.233333333333,
1317,Melee weapons - low level,1452988800000,3379,3394,3295,3174,3154,3409,3249.866666666667,
1317,Melee weapons - low level,1453075200000,3277,3379,3309,3176,3154,3409,3256.7,
1317,Melee weapons - low level,1453161600000,3343,3277,3377,3253,3154,3409,3260.0666666666666,
1317,Melee weapons - low level,1453248000000,3309,3343,3343,3271,3154,3409,3263.0666666666666,
1317,Melee weapons - low level,1453334400000,3302,3309,3409,3315,3154,3409,3264.3333333333335,
1317,Melee weapons - low level,1453420800000,3385,3302,3335,3312,3154,3409,3263.9,
1317,Melee weapons - low level,1453507200000,3471,3385,3394,3273,3154,3409,3266.3333333333335,
1317,Melee weapons - low level,1453593600000,3513,3471,3379,3190,3154,3471,3272.9333333333334,
1317,Melee weapons - low level,1453680000000,3628,3513,3277,3265,3154,3513,3283.7,
1317,Melee weapons - low level,1453766400000,3804,3628,3343,3184,3154,3628,3295.8,
1317,Melee weapons - low level,1453852800000,3995,3804,3309,3214,3154,3804,3316.4666666666667,
1317,Melee weapons - low level,1453939200000,4195,3995,3302,3220,3154,3995,3342.5,
1317,Melee weapons - low level,1454025600000,4405,4195,3385,3224,3154,4195,3375,
1317,Melee weapons - low level,1454112000000,4626,4405,3471,3162,3154,4405,3414.366666666667,
