ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
19372,Prayer armour,1449964800000,10716,10716,10251,9637,9637,10716,10142.266666666666,
19372,Prayer armour,1450051200000,10716,10716,10251,9940,9940,10716,10178.233333333334,
19372,Prayer armour,1450137600000,10716,10716,10251,9940,9940,10716,10204.1,
19372,Prayer armour,1450224000000,10716,10716,10251,9940,9940,10716,10229.966666666667,
19372,Prayer armour,1450310400000,10716,10716,10716,9940,9940,10716,10255.833333333334,
19372,Prayer armour,1450396800000,10716,10716,10716,9940,9940,10716,10281.7,
19372,Prayer armour,1450483200000,10716,10716,10716,9940,9940,10716,10307.566666666668,
19372,Prayer armour,1450569600000,10716,10716,10716,9940,9940,10716,10333.433333333332,
19372,Prayer armour,1450656000000,10716,10716,10716,9940,9940,10716,10359.3,
19372,Prayer armour,1450742400000,11042,10716,10716,9940,9940,10716,10385.166666666666,
19372,Prayer armour,1450828800000,11042,11042,10716,9940,9940,11042,10421.9,
19372,Prayer armour,1450915200000,11042,11042,10716,9940,9940,11042,10458.633333333333,
19372,Prayer armour,1451001600000,11042,11042,10716,9940,9940,11042,10495.366666666667,
19372,Prayer armour,1451088000000,11042,11042,10716,9940,9940,11042,10532.1,
19372,Prayer armour,1451174400000,11042,11042,10716,10251,10251,11042,10568.833333333334,
19372,Prayer armour,1451260800000,11042,11042,10716,10251,10251,11042,10595.2,
19372,Prayer armour,1451347200000,11042,11042,11042,10251,10251,11042,10621.566666666668,
19372,Prayer armour,1451433600000,11042,11042,11042,10251,10251,11042,10647.933333333332,
19372,Prayer armour,1451520000000,11042,11042,11042,10251,10251,11042,10674.3,
19372,Prayer armour,1451606400000,11042,11042,11042,10251,10251,11042,10700.666666666666,
19372,Prayer armour,1451692800000,11578,11042,11042,10251,10251,11042,10727.033333333333,
19372,Prayer armour,1451779200000,11578,11578,11042,10251,10251,11578,10771.266666666666,
19372,Prayer armour,1451865600000,11578,11578,11042,10251,10251,11578,10815.5,
19372,Prayer armour,1451952000000,11578,11578,11042,10251,10251,11578,10859.733333333334,
19372,Prayer armour,1452038400000,11578,11578,11042,10251,10251,11578,10903.966666666667,
19372,Prayer armour,1452124800000,11578,11578,11042,10251,10251,11578,10948.2,
19372,Prayer armour,1452211200000,11578,11578,11042,10251,10251,11578,10992.433333333332,
19372,Prayer armour,1452297600000,11578,11578,11578,10716,10716,11578,11036.666666666666,
19372,Prayer armour,1452384000000,11578,11578,11578,10716,10716,11578,11065.4,
19372,Prayer armour,1452470400000,11578,11578,11578,10716,10716,11578,11094.133333333333,
19372,Prayer armour,1452556800000,11578,11578,11578,10716,10716,11578,11122.866666666667,
19372,Prayer armour,1452643200000,12136,11578,11578,10716,10716,11578,11151.6,
19372,Prayer armour,1452729600000,12136,12136,11578,10716,10716,12136,11198.933333333332,
19372,Prayer armour,1452816000000,12136,12136,11578,10716,10716,12136,11246.266666666666,
19372,Prayer armour,1452902400000,12136,12136,11578,10716,10716,12136,11293.6,
19372,Prayer armour,1452988800000,12136,12136,11578,10716,10716,12136,11340.933333333332,
19372,Prayer armour,1453075200000,12136,12136,11578,10716,10716,12136,11388.266666666666,
19372,Prayer armour,1453161600000,12136,12136,11578,10716,10716,12136,11435.6,
19372,Prayer armour,1453248000000,12136,12136,12136,10716,10716,12136,11482.933333333332,
19372,Prayer armour,1453334400000,12136,12136,12136,11042,11042,12136,11530.266666666666,
19372,Prayer armour,1453420800000,12136,12136,12136,11042,11042,12136,11566.733333333334,
19372,Prayer armour,1453507200000,12136,12136,12136,11042,11042,12136,11603.2,
19372,Prayer armour,1453593600000,12575,12136,12136,11042,11042,12136,11639.666666666666,
19372,Prayer armour,1453680000000,12575,12575,12136,11042,11042,12575,11690.766666666666,
19372,Prayer armour,1453766400000,12575,12575,12136,11042,11042,12575,11741.866666666667,
19372,Prayer armour,1453852800000,12575,12575,12136,11042,11042,12575,11792.966666666667,
19372,Prayer armour,1453939200000,13154,12575,12136,11042,11042,12575,11844.066666666668,
19372,Prayer armour,1454025600000,13154,13154,12136,11042,11042,13154,11914.466666666667,
19372,Prayer armour,1454112000000,13154,13154,12136,11042,11042,13154,11984.866666666667,
19372,Prayer armour,1454198400000,13154,13154,12575,11042,11042,13154,12055.266666666666,
19372,Prayer armour,1454284800000,13154,13154,12575,11578,11578,13154,12125.666666666666,
