ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
25927,Range weapons,1449964800000,1196,1196,1196,1105,1105,1196,1152.1333333333334,
25927,Range weapons,1450051200000,1196,1196,1196,1105,1105,1196,1155.1666666666667,
25927,Range weapons,1450137600000,1196,1196,1196,1105,1105,1196,1158.2,
25927,Range weapons,1450224000000,1196,1196,1196,1105,1105,1196,1161.2333333333333,
25927,Range weapons,1450310400000,1251,1196,1196,1105,1105,1196,1164.2666666666667,
25927,Range weapons,1450396800000,1251,1251,1196,1105,1105,1251,1169.1333333333334,
25927,Range weapons,1450483200000,1251,1251,1196,1105,1105,1251,1174,
25927,Range weapons,1450569600000,1251,1251,1196,1105,1105,1251,1178.8666666666666,
25927,Range weapons,1450656000000,1251,1251,1196,1154,1154,1251,1183.7333333333333,
25927,Range weapons,1450742400000,1251,1251,1196,1154,1154,1251,1186.9666666666667,
25927,Range weapons,1450828800000,1251,1251,1196,1154,1154,1251,1190.2,
25927,Range weapons,1450915200000,1251,1251,1251,1154,1154,1251,1193.4333333333334,
25927,Range weapons,1451001600000,1251,1251,1251,1154,1154,1251,1196.6666666666667,
25927,Range weapons,1451088000000,1251,1251,1251,1154,1154,1251,1199.9,
25927,Range weapons,1451174400000,1288,1251,1251,1154,1154,1251,1203.1333333333334,
25927,Range weapons,1451260800000,1288,1288,1251,1154,1154,1288,1207.6,
25927,Range weapons,1451347200000,1288,1288,1251,1154,1154,1288,1212.0666666666666,
25927,Range weapons,1451433600000,1288,1288,1251,1154,1154,1288,1216.5333333333333,
25927,Range weapons,1451520000000,1288,1288,1251,1154,1154,1288,1221,
25927,Range weapons,1451606400000,1288,1288,1251,1154,1154,1288,1225.4666666666667,
25927,Range weapons,1451692800000,1288,1288,1251,1154,1154,1288,1229.9333333333334,
25927,Range weapons,1451779200000,1288,1288,1288,1154,1154,1288,1234.4,
25927,Range weapons,1451865600000,1288,1288,1288,1196,1196,1288,1238.8666666666666,
25927,Range weapons,1451952000000,1288,1288,1288,1196,1196,1288,1241.9333333333334,
25927,Range weapons,1452038400000,1347,1288,1288,1196,1196,1288,1245,
25927,Range weapons,1452124800000,1347,1347,1288,1196,1196,1347,1250.0333333333333,
25927,Range weapons,1452211200000,1347,1347,1288,1196,1196,1347,1255.0666666666666,
25927,Range weapons,1452297600000,1347,1347,1288,1196,1196,1347,1260.1,
25927,Range weapons,1452384000000,1347,1347,1288,1196,1196,1347,1265.1333333333334,
25927,Range weapons,1452470400000,1347,1347,1288,1196,1196,1347,1270.1666666666667,
25927,Range weapons,1452556800000,1347,1347,1288,1196,1196,1347,1275.2,
25927,Range weapons,1452643200000,1347,1347,1347,1196,1196,1347,1280.2333333333333,
25927,Range weapons,1452729600000,1304,1347,1347,1196,1196,1347,1285.2666666666667,
25927,Range weapons,1452816000000,1304,1304,1347,1196,1196,1347,1288.8666666666666,
25927,Range weapons,1452902400000,1304,1304,1347,1251,1251,1347,1292.4666666666667,
25927,Range weapons,1452988800000,1304,1304,1347,1251,1251,1347,1294.2333333333333,
25927,Range weapons,1453075200000,1304,1304,1347,1251,1251,1347,1296,
25927,Range weapons,1453161600000,1304,1304,1347,1251,1251,1347,1297.7666666666667,
25927,Range weapons,1453248000000,1304,1304,1347,1251,1251,1347,1299.5333333333333,
25927,Range weapons,1453334400000,1291,1304,1304,1251,1251,1347,1301.3,
25927,Range weapons,1453420800000,1291,1291,1304,1251,1251,1347,1302.6333333333334,
25927,Range weapons,1453507200000,1291,1291,1304,1251,1251,1347,1303.9666666666667,
25927,Range weapons,1453593600000,1291,1291,1304,1251,1251,1347,1305.3,
25927,Range weapons,1453680000000,1291,1291,1304,1251,1251,1347,1306.6333333333334,
25927,Range weapons,1453766400000,1351,1291,1304,1288,1288,1347,1307.9666666666667,
25927,Range weapons,1453852800000,1414,1351,1304,1288,1288,1351,1310.0666666666666,
25927,Range weapons,1453939200000,1414,1414,1291,1288,1288,1414,1314.2666666666667,
25927,Range weapons,1454025600000,1479,1414,1291,1288,1288,1414,1318.4666666666667,
25927,Range weapons,1454112000000,1479,1479,1291,1288,1288,1479,1324.8333333333333,
25927,Range weapons,1454198400000,1479,1479,1291,1288,1288,1479,1331.2,
25927,Range weapons,1454284800000,1546,1479,1291,1288,1288,1479,1337.5666666666666,
25927,Range weapons,1454371200000,1546,1546,1351,1288,1288,1546,1346.1666666666667,
25927,Range weapons,1454457600000,1546,1546,1414,1288,1288,1546,1354.7666666666667,
25927,Range weapons,1454544000000,1546,1546,1414,1288,1288,1546,1363.3666666666666,
25927,Range weapons,1454630400000,1546,1546,1479,1347,1291,1546,1371.9666666666667,
25927,Range weapons,1454716800000,1617,1546,1479,1347,1291,1546,1378.6,
25927,Range weapons,1454803200000,1617,1617,1479,1347,1291,1617,1387.6,
25927,Range weapons,1454889600000,1617,1617,1546,1347,1291,1617,1396.6,
25927,Range weapons,1454976000000,1617,1617,1546,1347,1291,1617,1405.6,
25927,Range weapons,1455062400000,1617,1617,1546,1347,1291,1617,1414.6,
25927,Range weapons,1455148800000,1617,1617,1546,1347,1291,1617,1423.6,
25927,Range weapons,1455235200000,1617,1617,1546,1347,1291,1617,1432.6,
25927,Range weapons,1455321600000,1695,1617,1617,1304,1291,1617,1441.6,
25927,Range weapons,1455408000000,1695,1695,1617,1304,1291,1695,1454.6333333333334,
25927,Range weapons,1455494400000,1695,1695,1617,1304,1291,1695,1467.6666666666667,
25927,Range weapons,1455580800000,1695,1695,1617,1304,1291,1695,1480.7,
25927,Range weapons,1455667200000,1695,1695,1617,1304,1291,1695,1493.7333333333333,
25927,Range weapons,1455753600000,1695,1695,1617,1304,1291,1695,1506.7666666666667,
25927,Range weapons,1455840000000,1772,1695,1617,1304,1291,1695,1519.8,
25927,Range weapons,1455926400000,1772,1772,1695,1291,1291,1772,1535.4,
25927,Range weapons,1456012800000,1772,1772,1695,1291,1291,1772,1551.4333333333334,
25927,Range weapons,1456099200000,1772,1772,1695,1291,1291,1772,1567.4666666666667,
25927,Range weapons,1456185600000,1772,1772,1695,1291,1291,1772,1583.5,
25927,Range weapons,1456272000000,1772,1772,1695,1291,1291,1772,1599.5333333333333,
25927,Range weapons,1456358400000,1853,1772,1695,1351,1351,1772,1615.5666666666666,
25927,Range weapons,1456444800000,1853,1853,1772,1414,1414,1853,1632.3,
25927,Range weapons,1456531200000,1853,1853,1772,1414,1414,1853,1646.9333333333334,
25927,Range weapons,1456617600000,1853,1853,1772,1479,1479,1853,1661.5666666666666,
