ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
2862,Woodcutting product,1449964800000,481,481,471,493,471,496,483.03333333333336,
2862,Woodcutting product,1450051200000,481,481,471,496,471,496,482.6333333333333,
2862,Woodcutting product,1450137600000,481,481,471,496,471,496,482.1333333333333,
2862,Woodcutting product,1450224000000,481,481,471,496,471,496,481.6333333333333,
2862,Woodcutting product,1450310400000,481,481,471,496,471,496,481.1333333333333,
2862,Woodcutting product,1450396800000,481,481,471,496,471,496,480.6333333333333,
2862,Woodcutting product,1450483200000,481,481,481,487,471,489,480.1333333333333,
2862,Woodcutting product,1450569600000,481,481,481,487,471,489,479.93333333333334,
2862,Woodcutting product,1450656000000,481,481,481,487,471,489,479.73333333333335,
2862,Woodcutting product,1450742400000,474,481,481,487,471,489,479.53333333333336,
2862,Woodcutting product,1450828800000,474,474,481,487,471,489,479.1,
2862,Woodcutting product,1450915200000,474,474,481,487,471,489,478.6666666666667,
2862,Woodcutting product,1451001600000,474,474,481,489,471,489,478.23333333333335,
2862,Woodcutting product,1451088000000,474,474,481,489,471,489,477.73333333333335,
2862,Woodcutting product,1451174400000,465,474,481,489,471,489,477.23333333333335,
2862,Woodcutting product,1451260800000,465,465,481,489,465,489,476.43333333333334,
2862,Woodcutting product,1451347200000,465,465,474,489,465,489,475.6333333333333,
2862,Woodcutting product,1451433600000,465,465,474,474,465,481,474.8333333333333,
2862,Woodcutting product,1451520000000,471,465,474,474,465,481,474.53333333333336,
2862,Woodcutting product,1451606400000,471,471,474,474,465,481,474.43333333333334,
2862,Woodcutting product,1451692800000,471,471,474,474,465,481,474.3333333333333,
2862,Woodcutting product,1451779200000,471,471,465,474,465,481,474.23333333333335,
2862,Woodcutting product,1451865600000,492,471,465,474,465,481,474.1333333333333,
2862,Woodcutting product,1451952000000,492,492,465,471,465,492,474.73333333333335,
2862,Woodcutting product,1452038400000,492,492,465,471,465,492,475.43333333333334,
2862,Woodcutting product,1452124800000,492,492,471,471,465,492,476.1333333333333,
2862,Woodcutting product,1452211200000,492,492,471,471,465,492,476.8333333333333,
2862,Woodcutting product,1452297600000,489,492,471,471,465,492,477.53333333333336,
2862,Woodcutting product,1452384000000,489,489,471,471,465,492,478.1333333333333,
2862,Woodcutting product,1452470400000,489,489,492,481,465,492,478.73333333333335,
2862,Woodcutting product,1452556800000,489,489,492,481,465,492,479,
2862,Woodcutting product,1452643200000,485,489,492,481,465,492,479.26666666666665,
2862,Woodcutting product,1452729600000,485,485,492,481,465,492,479.4,
2862,Woodcutting product,1452816000000,485,485,492,481,465,492,479.53333333333336,
2862,Woodcutting product,1452902400000,485,485,489,481,465,492,479.6666666666667,
2862,Woodcutting product,1452988800000,476,485,489,481,465,492,479.8,
