ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
592,Herblore materials,1449964800000,180,182,191,217,179,217,217
592,Herblore materials,1450051200000,176,180,183,216,179,216,216
592,Herblore materials,1450137600000,171,176,184,214,176,215,215
592,Herblore materials,1450224000000,170,171,186,206,171,215,215
592,Herblore materials,1450310400000,172,170,181,208,170,215,215
592,Herblore materials,1450396800000,173,172,179,215,170,215,215
592,Herblore materials,1450483200000,173,173,182,210,170,210,210
592,Herblore materials,1450569600000,174,173,180,207,170,207,207
592,Herblore materials,1450656000000,172,174,176,205,170,205,205
592,Herblore materials,1450742400000,166,172,171,204,170,204,204
592,Herblore materials,1450828800000,162,166,170,193,166,194,194
592,Herblore materials,1450915200000,162,162,172,183,162,194,194
592,Herblore materials,1451001600000,161,162,173,180,162,194,194
592,Herblore materials,1451088000000,157,161,173,180,161,194,194
592,Herblore materials,1451174400000,161,157,174,186,157,194,194
592,Herblore materials,1451260800000,162,161,172,191,157,194,194
592,Herblore materials,1451347200000,163,162,166,192,157,194,194
592,Herblore materials,1451433600000,172,163,162,194,157,194,194
592,Herblore materials,1451520000000,180,172,162,187,157,193,193
592,Herblore materials,1451606400000,189,180,161,187,157,193,193
592,Herblore materials,1451692800000,197,189,157,192,157,193,193
592,Herblore materials,1451779200000,202,197,161,193,157,197,197
592,Herblore materials,1451865600000,204,202,162,190,157,202,202
592,Herblore materials,1451952000000,204,204,163,191,157,204,204
592,Herblore materials,1452038400000,205,204,172,183,157,204,204
592,Herblore materials,1452124800000,199,205,180,184,157,205,205
592,Herblore materials,1452211200000,190,199,189,186,157,205,205
592,Herblore materials,1452297600000,185,190,197,181,157,205,205
592,Herblore materials,1452384000000,193,185,202,179,157,205,205
592,Herblore materials,1452470400000,194,193,204,182,157,205,205
592,Herblore materials,1452556800000,190,194,204,180,157,205,205
592,Herblore materials,1452643200000,185,190,205,176,157,205,205
592,Herblore materials,1452729600000,188,185,199,171,157,205,205
592,Herblore materials,1452816000000,189,188,190,170,157,205,205
592,Herblore materials,1452902400000,191,189,185,172,157,205,205
592,Herblore materials,1452988800000,185,191,193,173,157,205,205
592,Herblore materials,1453075200000,183,185,194,173,157,205,205
592,Herblore materials,1453161600000,180,183,190,174,157,205,205
