id,category,timestamp,price_now,change_amt,change_type,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
556,Runes Spells and Teleports,1449964800000,30,0.0344827586206897,U,29,26,24,24,29,25.8666666666667
556,Runes Spells and Teleports,1450051200000,31,0.0333333333333333,U,30,27,24,24,30,26.0666666666667
556,Runes Spells and Teleports,1450137600000,32,0.032258064516129,U,31,28,25,25,31,26.3
556,Runes Spells and Teleports,1450224000000,33,0.03125,U,32,28,25,25,32,26.5333333333333
556,Runes Spells and Teleports,1450310400000,33,0,S,33,28,25,25,33,26.8
556,Runes Spells and Teleports,1450396800000,32,-0.0303030303030303,D,33,28,26,25,33,27.0666666666667
556,Runes Spells and Teleports,1450483200000,30,-0.0625,D,32,29,26,25,33,27.2666666666667
556,Runes Spells and Teleports,1450569600000,29,-0.0333333333333333,D,30,30,26,25,33,27.4
556,Runes Spells and Teleports,1450656000000,27,-0.0689655172413793,D,29,31,26,25,33,27.5
556,Runes Spells and Teleports,1450742400000,26,-0.037037037037037,D,27,32,26,25,33,27.5333333333333
556,Runes Spells and Teleports,1450828800000,25,-0.0384615384615385,D,26,33,26,25,33,27.5333333333333
556,Runes Spells and Teleports,1450915200000,24,-0.04,D,25,33,26,25,33,27.5
556,Runes Spells and Teleports,1451001600000,23,-0.0416666666666667,D,24,32,26,24,33,27.4333333333333
556,Runes Spells and Teleports,1451088000000,23,0,S,23,30,25,23,33,27.3333333333333
556,Runes Spells and Teleports,1451174400000,24,0.0434782608695652,U,23,29,25,23,33,27.2666666666667
556,Runes Spells and Teleports,1451260800000,25,0.0416666666666667,U,24,27,25,23,33,27.2333333333333
556,Runes Spells and Teleports,1451347200000,26,0.04,U,25,26,25,23,33,27.2333333333333
556,Runes Spells and Teleports,1451433600000,24,-0.0769230769230769,D,26,25,25,23,33,27.2666666666667
556,Runes Spells and Teleports,1451520000000,23,-0.0416666666666667,D,24,24,25,23,33,27.2333333333333
556,Runes Spells and Teleports,1451606400000,24,0.0434782608695652,U,23,23,25,23,33,27.1666666666667
556,Runes Spells and Teleports,1451692800000,23,-0.0416666666666667,D,24,23,25,23,33,27.1333333333333
556,Runes Spells and Teleports,1451779200000,22,-0.0434782608695652,D,23,24,25,23,33,27.0666666666667
556,Runes Spells and Teleports,1451865600000,21,-0.0454545454545455,D,22,25,26,22,33,26.9666666666667
556,Runes Spells and Teleports,1451952000000,20,-0.0476190476190476,D,21,26,26,21,33,26.8
556,Runes Spells and Teleports,1452038400000,20,0,S,20,24,27,20,33,26.6
556,Runes Spells and Teleports,1452124800000,20,0,S,20,23,28,20,33,26.3666666666667
556,Runes Spells and Teleports,1452211200000,21,0.05,U,20,24,28,20,33,26.1
556,Runes Spells and Teleports,1452297600000,22,0.0476190476190476,U,21,23,28,20,33,25.8666666666667
556,Runes Spells and Teleports,1452384000000,22,0,S,22,22,28,20,33,25.6666666666667
556,Runes Spells and Teleports,1452470400000,22,0,S,22,21,29,20,33,25.4666666666667
556,Runes Spells and Teleports,1452556800000,22,0,S,22,20,30,20,33,25.2333333333333
556,Runes Spells and Teleports,1452643200000,22,0,S,22,20,31,20,33,24.9666666666667
556,Runes Spells and Teleports,1452729600000,22,0,S,22,20,32,20,33,24.6666666666667
556,Runes Spells and Teleports,1452816000000,22,0,S,22,21,33,20,33,24.3333333333333
556,Runes Spells and Teleports,1452902400000,22,0,S,22,22,33,20,33,23.9666666666667
556,Runes Spells and Teleports,1452988800000,22,0,S,22,22,32,20,32,23.6
556,Runes Spells and Teleports,1453075200000,22,0,S,22,22,30,20,30,23.2666666666667
556,Runes Spells and Teleports,1453161600000,22,0,S,22,22,29,20,29,23
556,Runes Spells and Teleports,1453248000000,22,0,S,22,22,27,20,27,22.7666666666667
556,Runes Spells and Teleports,1453334400000,22,0,S,22,22,26,20,26,22.6
556,Runes Spells and Teleports,1453420800000,23,0.0454545454545455,U,22,22,25,20,26,22.4666666666667
556,Runes Spells and Teleports,1453507200000,23,0,S,23,22,24,20,26,22.4
556,Runes Spells and Teleports,1453593600000,23,0,S,23,22,23,20,26,22.3666666666667
556,Runes Spells and Teleports,1453680000000,23,0,S,23,22,23,20,26,22.3666666666667
556,Runes Spells and Teleports,1453766400000,23,0,S,23,22,24,20,26,22.3666666666667
556,Runes Spells and Teleports,1453852800000,24,0.0434782608695652,U,23,22,25,20,26,22.3333333333333
556,Runes Spells and Teleports,1453939200000,25,0.0416666666666667,U,24,22,26,20,26,22.3
556,Runes Spells and Teleports,1454025600000,26,0.04,U,25,23,24,20,25,22.2666666666667
556,Runes Spells and Teleports,1454112000000,27,0.0384615384615385,U,26,23,23,20,26,22.3333333333333
556,Runes Spells and Teleports,1454198400000,28,0.037037037037037,U,27,23,24,20,27,22.4666666666667
556,Runes Spells and Teleports,1454284800000,29,0.0357142857142857,U,28,23,23,20,28,22.6
556,Runes Spells and Teleports,1454371200000,31,0.0689655172413793,U,29,23,22,20,29,22.8
556,Runes Spells and Teleports,1454457600000,33,0.0645161290322581,U,31,24,21,20,31,23.1
556,Runes Spells and Teleports,1454544000000,34,0.0303030303030303,U,33,25,20,20,33,23.5
556,Runes Spells and Teleports,1454630400000,35,0.0294117647058824,U,34,26,20,20,34,23.9666666666667
556,Runes Spells and Teleports,1454716800000,36,0.0285714285714286,U,35,27,20,20,35,24.4666666666667
556,Runes Spells and Teleports,1454803200000,37,0.0277777777777778,U,36,28,21,21,36,25
556,Runes Spells and Teleports,1454889600000,39,0.0540540540540541,U,37,29,22,22,37,25.5333333333333
556,Runes Spells and Teleports,1454976000000,40,0.0256410256410256,U,39,31,22,22,39,26.1
556,Runes Spells and Teleports,1455062400000,42,0.05,U,40,33,22,22,40,26.7
556,Runes Spells and Teleports,1455148800000,44,0.0476190476190476,U,42,34,22,22,42,27.3666666666667
556,Runes Spells and Teleports,1455235200000,45,0.0227272727272727,U,44,35,22,22,44,28.1
556,Runes Spells and Teleports,1455321600000,46,0.0222222222222222,U,45,36,22,22,45,28.8666666666667
556,Runes Spells and Teleports,1455408000000,47,0.0217391304347826,U,46,37,22,22,46,29.6666666666667
556,Runes Spells and Teleports,1455494400000,48,0.0212765957446809,U,47,39,22,22,47,30.5
556,Runes Spells and Teleports,1455580800000,47,-0.0208333333333333,D,48,40,22,22,48,31.3666666666667
556,Runes Spells and Teleports,1455667200000,45,-0.0425531914893617,D,47,42,22,22,48,32.2
556,Runes Spells and Teleports,1455753600000,42,-0.0666666666666667,D,45,44,22,22,48,32.9666666666667
556,Runes Spells and Teleports,1455840000000,40,-0.0476190476190476,D,42,45,22,22,48,33.6333333333333
556,Runes Spells and Teleports,1455926400000,38,-0.05,D,40,46,22,22,48,34.2333333333333
556,Runes Spells and Teleports,1456012800000,37,-0.0263157894736842,D,38,47,23,23,48,34.7666666666667
556,Runes Spells and Teleports,1456099200000,35,-0.0540540540540541,D,37,48,23,23,48,35.2333333333333
556,Runes Spells and Teleports,1456185600000,34,-0.0285714285714286,D,35,47,23,23,48,35.6333333333333
556,Runes Spells and Teleports,1456272000000,33,-0.0294117647058824,D,34,45,23,23,48,36
556,Runes Spells and Teleports,1456358400000,33,0,S,33,42,23,23,48,36.3333333333333
556,Runes Spells and Teleports,1456444800000,33,0,S,33,40,24,24,48,36.6666666666667
556,Runes Spells and Teleports,1456531200000,33,0,S,33,38,25,25,48,36.9666666666667
556,Runes Spells and Teleports,1456617600000,33,0,S,33,37,26,26,48,37.2333333333333
556,Runes Spells and Teleports,1456704000000,33,0,S,33,35,27,27,48,37.4666666666667
556,Runes Spells and Teleports,1456790400000,34,0.0303030303030303,U,33,34,28,28,48,37.6666666666667
556,Runes Spells and Teleports,1456876800000,36,0.0588235294117647,U,34,33,29,29,48,37.8666666666667
556,Runes Spells and Teleports,1456963200000,38,0.0555555555555556,U,36,33,31,31,48,38.1
556,Runes Spells and Teleports,1457049600000,40,0.0526315789473684,U,38,33,33,33,48,38.3333333333333
556,Runes Spells and Teleports,1457136000000,42,0.05,U,40,33,34,33,48,38.5666666666667
556,Runes Spells and Teleports,1457222400000,43,0.0238095238095238,U,42,33,35,33,48,38.8333333333333
556,Runes Spells and Teleports,1457308800000,42,-0.0232558139534884,D,43,33,36,33,48,39.1
556,Runes Spells and Teleports,1457395200000,41,-0.0238095238095238,D,42,34,37,33,48,39.3
556,Runes Spells and Teleports,1457481600000,39,-0.0487804878048781,D,41,36,39,33,48,39.4333333333333
556,Runes Spells and Teleports,1457568000000,37,-0.0512820512820513,D,39,38,40,33,48,39.4333333333333
556,Runes Spells and Teleports,1457654400000,35,-0.0540540540540541,D,37,40,42,33,48,39.3333333333333
556,Runes Spells and Teleports,1457740800000,33,-0.0571428571428571,D,35,42,44,33,48,39.1
556,Runes Spells and Teleports,1457827200000,31,-0.0606060606060606,D,33,43,45,33,48,38.7333333333333
556,Runes Spells and Teleports,1457913600000,29,-0.0645161290322581,D,31,42,46,31,48,38.2666666666667
556,Runes Spells and Teleports,1458000000000,27,-0.0689655172413793,D,29,41,47,29,48,37.7
556,Runes Spells and Teleports,1458086400000,25,-0.0740740740740741,D,27,39,48,27,48,37.0333333333333
556,Runes Spells and Teleports,1458172800000,24,-0.04,D,25,37,47,25,47,36.2666666666667
556,Runes Spells and Teleports,1458259200000,25,0.0416666666666667,U,24,35,45,24,45,35.5
556,Runes Spells and Teleports,1458345600000,26,0.04,U,25,33,42,24,43,34.8333333333333
556,Runes Spells and Teleports,1458432000000,26,0,S,26,31,40,24,43,34.3
556,Runes Spells and Teleports,1458518400000,26,0,S,26,29,38,24,43,33.8333333333333
556,Runes Spells and Teleports,1458604800000,24,-0.0769230769230769,D,26,27,37,24,43,33.4333333333333
556,Runes Spells and Teleports,1458691200000,24,0,S,24,25,35,24,43,33
556,Runes Spells and Teleports,1458777600000,25,0.0416666666666667,U,24,24,34,24,43,32.6333333333333
556,Runes Spells and Teleports,1458864000000,26,0.04,U,25,25,33,24,43,32.3333333333333
556,Runes Spells and Teleports,1458950400000,26,0,S,26,26,33,24,43,32.1
556,Runes Spells and Teleports,1459036800000,26,0,S,26,26,33,24,43,31.8666666666667
556,Runes Spells and Teleports,1459123200000,25,-0.0384615384615385,D,26,26,33,24,43,31.6333333333333
556,Runes Spells and Teleports,1459209600000,25,0,S,25,24,33,24,43,31.3666666666667
556,Runes Spells and Teleports,1459296000000,24,-0.04,D,25,24,33,24,43,31.1
556,Runes Spells and Teleports,1459382400000,23,-0.0416666666666667,D,24,25,34,24,43,30.8
556,Runes Spells and Teleports,1459468800000,23,0,S,23,26,36,23,43,30.4333333333333
556,Runes Spells and Teleports,1459555200000,23,0,S,23,26,38,23,43,30
556,Runes Spells and Teleports,1459641600000,23,0,S,23,26,40,23,43,29.5
556,Runes Spells and Teleports,1459728000000,23,0,S,23,25,42,23,43,28.9333333333333
556,Runes Spells and Teleports,1459814400000,23,0,S,23,25,43,23,43,28.3
556,Runes Spells and Teleports,1459900800000,22,-0.0434782608695652,D,23,24,42,23,42,27.6333333333333
556,Runes Spells and Teleports,1459987200000,22,0,S,22,23,41,22,41,26.9666666666667
556,Runes Spells and Teleports,1460073600000,22,0,S,22,23,39,22,39,26.3333333333333
556,Runes Spells and Teleports,1460160000000,23,0.0454545454545455,U,22,23,37,22,37,25.7666666666667
556,Runes Spells and Teleports,1460246400000,24,0.0434782608695652,U,23,23,35,22,35,25.3
556,Runes Spells and Teleports,1460332800000,26,0.0833333333333333,U,24,23,33,22,33,24.9333333333333
556,Runes Spells and Teleports,1460419200000,28,0.0769230769230769,U,26,23,31,22,31,24.7
556,Runes Spells and Teleports,1460505600000,28,0,S,28,22,29,22,29,24.6
556,Runes Spells and Teleports,1460592000000,27,-0.0357142857142857,D,28,22,27,22,28,24.5666666666667
556,Runes Spells and Teleports,1460678400000,27,0,S,27,22,25,22,28,24.5666666666667
556,Runes Spells and Teleports,1460764800000,26,-0.037037037037037,D,27,23,24,22,28,24.6333333333333
556,Runes Spells and Teleports,1460851200000,26,0,S,26,24,25,22,28,24.7
556,Runes Spells and Teleports,1460937600000,24,-0.0769230769230769,D,26,26,26,22,28,24.7333333333333
556,Runes Spells and Teleports,1461024000000,22,-0.0833333333333333,D,24,28,26,22,28,24.6666666666667
556,Runes Spells and Teleports,1461110400000,22,0,S,22,28,26,22,28,24.5333333333333
556,Runes Spells and Teleports,1461196800000,22,0,S,22,27,24,22,28,24.4
556,Runes Spells and Teleports,1461283200000,22,0,S,22,27,24,22,28,24.3333333333333
556,Runes Spells and Teleports,1461369600000,21,-0.0454545454545455,D,22,26,25,22,28,24.2666666666667
556,Runes Spells and Teleports,1461456000000,21,0,S,21,26,26,21,28,24.1333333333333
556,Runes Spells and Teleports,1461542400000,22,0.0476190476190476,U,21,24,26,21,28,23.9666666666667
556,Runes Spells and Teleports,1461628800000,22,0,S,22,22,26,21,28,23.8333333333333
556,Runes Spells and Teleports,1461715200000,21,-0.0454545454545455,D,22,22,25,21,28,23.7
556,Runes Spells and Teleports,1461801600000,22,0.0476190476190476,U,21,22,25,21,28,23.5666666666667
556,Runes Spells and Teleports,1461888000000,21,-0.0454545454545455,D,22,22,24,21,28,23.4666666666667
556,Runes Spells and Teleports,1461974400000,21,0,S,21,21,23,21,28,23.3666666666667
556,Runes Spells and Teleports,1462060800000,21,0,S,21,21,23,21,28,23.3
556,Runes Spells and Teleports,1462147200000,21,0,S,21,22,23,21,28,23.2333333333333
556,Runes Spells and Teleports,1462233600000,20,-0.0476190476190476,D,21,22,23,21,28,23.1666666666667
556,Runes Spells and Teleports,1462320000000,21,0.05,U,20,21,23,20,28,23.0666666666667
556,Runes Spells and Teleports,1462406400000,21,0,S,21,22,23,20,28,23
