ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg,01_change_type,p_change_day0_to_day1,p_change_day1_to_day2,p_change_day2_to_day3,p_change_day3_to_day4,p_change_day4_to_day5,p_change_day5_to_day6,p_change_day6_to_day7,p_change_day7_to_day8,p_change_day8_to_day9,p_change_day9_to_day10,p_change_day10_to_day11,p_change_day11_to_day12,p_change_day12_to_day13,p_change_day13_to_day14,p_change_day14_to_day15,p_change_day15_to_day16,p_change_day16_to_day17,p_change_day17_to_day18,p_change_day18_to_day19,p_change_day19_to_day20,p_change_day20_to_day21,p_change_day21_to_day22,p_change_day22_to_day23,p_change_day23_to_day24,p_change_day24_to_day25,p_change_day25_to_day26,p_change_day26_to_day27,p_change_day27_to_day28,p_change_day28_to_day29
20133,Melee armour - high level,1449964800000,35571,35571,37299,43260,35571,43260,39179.63333333333,S,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0,0,0,0,-3.3865002311604253,0,0
20133,Melee armour - high level,1450051200000,34996,35571,36372,43260,34996,43260,38904.166666666664,D,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0,0,0,0,-3.3865002311604253,0
20133,Melee armour - high level,1450137600000,34996,34996,36372,43260,34996,43260,38628.7,S,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0,0,0,0,-3.3865002311604253
20133,Melee armour - high level,1450224000000,34996,34996,36372,43260,34996,41795,38353.23333333333,S,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0,0,0,0
20133,Melee armour - high level,1450310400000,34996,34996,36372,41795,34996,41795,38126.6,S,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0,0,0
20133,Melee armour - high level,1450396800000,34400,34996,35571,41795,34400,41795,37880.1,D,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0,0
20133,Melee armour - high level,1450483200000,34400,34400,35571,41795,34400,41795,37633.6,S,0,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784,0
20133,Melee armour - high level,1450569600000,34400,34400,35571,41795,34400,41795,37387.1,S,0,0,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0,-1.9787055867926784
20133,Melee armour - high level,1450656000000,34400,34400,34996,41795,34400,40968,37140.6,S,0,0,0,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0,0
20133,Melee armour - high level,1450742400000,33697,34400,34996,40968,33697,40968,36898.23333333333,D,-2.0436046511627906,0,0,0,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0,0
20133,Melee armour - high level,1450828800000,33697,33697,34996,40968,33697,40968,36655.86666666667,S,0,-2.0436046511627906,0,0,0,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0,0
20133,Melee armour - high level,1450915200000,33697,33697,34996,40968,33697,40968,36413.5,S,0,0,-2.0436046511627906,0,0,0,-1.7030517773459823,0,0,0,-1.6164853391807934,0,0,-2.2022434839986804,0,0,0,-2.4853213222874606,0,0,0.050965665236051505,0,0,-4.321938199363514,0,0,0,-4.89162272993556,0
