ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg,01_change_type,p_change_day0_to_day1,p_change_day1_to_day2,p_change_day2_to_day3,p_change_day3_to_day4,p_change_day4_to_day5,p_change_day5_to_day6,p_change_day6_to_day7,p_change_day7_to_day8,p_change_day8_to_day9,p_change_day9_to_day10,p_change_day10_to_day11,p_change_day11_to_day12,p_change_day12_to_day13,p_change_day13_to_day14,p_change_day14_to_day15,p_change_day15_to_day16,p_change_day16_to_day17,p_change_day17_to_day18,p_change_day18_to_day19,p_change_day19_to_day20,p_change_day20_to_day21,p_change_day21_to_day22,p_change_day22_to_day23,p_change_day23_to_day24,p_change_day24_to_day25,p_change_day25_to_day26,p_change_day26_to_day27,p_change_day27_to_day28,p_change_day28_to_day29
43,Fletching materials,1452124800000,133,133,135,154,133,155,144.9,S,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0,0,1.3071895424836601,0,0,-0.6493506493506493,0
43,Fletching materials,1452211200000,137,133,135,154,133,155,144.33333333333334,U,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0,0,1.3071895424836601,0,0,-0.6493506493506493
43,Fletching materials,1452297600000,137,137,135,154,133,155,143.76666666666668,S,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0,0,1.3071895424836601,0,0
43,Fletching materials,1452384000000,137,137,133,153,133,155,143.23333333333332,S,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0,0,1.3071895424836601,0
43,Fletching materials,1452470400000,136,137,133,153,133,155,142.66666666666666,D,-0.7299270072992701,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0,0,1.3071895424836601
43,Fletching materials,1452556800000,136,136,133,153,133,155,142.1,S,0,-0.7299270072992701,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0,0
43,Fletching materials,1452643200000,132,136,133,155,132,155,141.33333333333334,D,-2.941176470588235,0,-0.7299270072992701,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903,0
43,Fletching materials,1452729600000,132,132,133,155,132,155,140.56666666666666,S,0,-2.941176470588235,0,-0.7299270072992701,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0,-3.225806451612903
43,Fletching materials,1452816000000,132,132,137,155,132,151,139.8,S,0,0,-2.941176470588235,0,-0.7299270072992701,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0,0
43,Fletching materials,1452902400000,131,132,137,150,131,151,139.16666666666666,D,-0.7575757575757576,0,0,-2.941176470588235,0,-0.7299270072992701,0,0,3.007518796992481,0,0,0,0,-1.4814814814814816,0,0,-2.1739130434782608,0,0,-3.4965034965034967,0,0,-4.666666666666667,0,0,-0.6622516556291391,0,0.6666666666666667,0
