ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg,percent_change_over_30_days
20133,Melee armour - high level,1449964800000,35571,35571,37299,43260,35571,43260,43260,0%
20133,Melee armour - high level,1450051200000,34996,35571,36372,43260,35571,43260,43260,1.6430449194193624%
20133,Melee armour - high level,1450137600000,34996,34996,36372,43260,34996,43260,43260,0%
20133,Melee armour - high level,1450224000000,34996,34996,36372,43260,34996,43260,43260,0%
20133,Melee armour - high level,1450310400000,34996,34996,36372,41795,34996,41795,41795,0%
20133,Melee armour - high level,1450396800000,34400,34996,35571,41795,34996,41795,41795,1.7325581395348837%
20133,Melee armour - high level,1450483200000,34400,34400,35571,41795,34400,41795,41795,0%
20133,Melee armour - high level,1450569600000,34400,34400,35571,41795,34400,41795,41795,0%
20133,Melee armour - high level,1450656000000,34400,34400,34996,41795,34400,41795,41795,0%
20133,Melee armour - high level,1450742400000,33697,34400,34996,40968,34400,40968,40968,2.0862391310799184%
20133,Melee armour - high level,1450828800000,33697,33697,34996,40968,33697,40968,40968,0%
20133,Melee armour - high level,1450915200000,33697,33697,34996,40968,33697,40968,40968,0%
20133,Melee armour - high level,1451001600000,32670,33697,34400,40968,33697,40968,40968,3.1435567799204165%
20133,Melee armour - high level,1451088000000,32670,32670,34400,40968,32670,40968,40968,0%
20133,Melee armour - high level,1451174400000,32670,32670,34400,38964,32670,38964,38964,0%
20133,Melee armour - high level,1451260800000,32670,32670,34400,38964,32670,38964,38964,0%
20133,Melee armour - high level,1451347200000,32325,32670,33697,38964,32670,38964,38964,1.0672853828306266%
20133,Melee armour - high level,1451433600000,32325,32325,33697,38964,32325,38964,38964,0%
20133,Melee armour - high level,1451520000000,32325,32325,33697,37280,32325,37299,37299,0%
20133,Melee armour - high level,1451606400000,32325,32325,32670,37280,32325,37299,37299,0%
20133,Melee armour - high level,1451692800000,31459,32325,32670,37280,32325,37299,37299,2.752789344861566%
20133,Melee armour - high level,1451779200000,31459,31459,32670,37299,31459,37299,37299,0%
20133,Melee armour - high level,1451865600000,31459,31459,32670,37299,31459,37299,37299,0%
20133,Melee armour - high level,1451952000000,31308,31459,32325,37299,31459,37299,37299,0.4823048422128529%
20133,Melee armour - high level,1452038400000,31308,31308,32325,36372,31308,36372,36372,0%
