ID,category,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
35117,Miscellaneous,1462838400000,399980704,399980704,399980704,399980704,399980704,399980704,399980704,
21736,Miscellaneous,1462838400000,111380,111380,115426,116733,111380,116733,115274.46666666666,
21742,Miscellaneous,1462838400000,75353,75353,75353,75353,75353,75353,75353,
21760,Miscellaneous,1462838400000,1827830,1827830,1915616,2106374,1827830,2106374,2007190.1333333333,
21766,Miscellaneous,1462838400000,839785,839785,839785,839785,839785,839785,839785,
21752,Miscellaneous,1462838400000,3020282,3020282,3171026,3409366,3020282,3409366,3265798.533333333,
21758,Miscellaneous,1462838400000,2055556,2055556,2055556,2055556,2055556,2055556,2055556,
21744,Miscellaneous,1462838400000,104531,104531,104531,113550,104531,113550,109274.6,
21750,Miscellaneous,1462838400000,50782,50782,50782,50782,50782,50782,50782,
12622,Miscellaneous,1462838400000,241,241,230,224,224,241,229.06666666666666,
33870,Miscellaneous,1462838400000,2480202,2585594,2511336,2877540,2453031,3014268,2765371.6333333333,
30054,Miscellaneous,1462838400000,39999,39999,39999,39999,39999,39999,39999,
30087,Miscellaneous,1462838400000,464,464,464,463,463,464,463.26666666666665,
21777,Miscellaneous,1462838400000,9511026,9511026,9143445,9453139,9119737,10093472,9651531.7,
30117,Miscellaneous,1462838400000,228,228,228,227,227,228,227.5,
30118,Miscellaneous,1462838400000,42009,42009,42009,42009,42009,42009,42009,
30116,Miscellaneous,1462838400000,41584,41584,41584,41584,41584,41584,41584,
30126,Miscellaneous,1462838400000,16749,16749,16749,16749,16749,16749,16749,
30115,Miscellaneous,1462838400000,5114,5114,5114,5114,5114,5114,5114,
30106,Miscellaneous,1462838400000,12873,12873,12873,12873,12873,12873,12873,
21773,Miscellaneous,1462838400000,397,397,400,348,348,400,375.3666666666667,
28445,Miscellaneous,1462838400000,250149,260246,256051,331913,255571,344213,295829.3,
28451,Miscellaneous,1462838400000,150933,157487,137054,174036,134203,182508,151146.26666666666,
28453,Miscellaneous,1462838400000,101943,107080,114184,155338,106701,157169,121547.5,
28447,Miscellaneous,1462838400000,198840,208307,193925,230148,186121,230148,201847.6,
28455,Miscellaneous,1462838400000,134916,140148,126961,173767,123509,182706,146732.2,
28449,Miscellaneous,1462838400000,111582,114926,104231,158692,104231,160690,126629.1,
28436,Miscellaneous,1462838400000,369,371,380,364,351,384,368.6666666666667,
28640,Miscellaneous,1462838400000,562,562,562,563,562,563,562.5666666666667,
28646,Miscellaneous,1462838400000,332,332,332,332,332,332,332,
28648,Miscellaneous,1462838400000,1312,1312,1345,1314,1312,1354,1343.3,
28644,Miscellaneous,1462838400000,169,169,169,169,169,169,169,
28642,Miscellaneous,1462838400000,112,112,112,112,112,112,112,
8431,Miscellaneous,1462838400000,1446,1446,1472,1481,1440,1481,1459.8333333333333,
30120,Miscellaneous,1462838400000,22308,22308,22307,22307,22307,22308,22307.066666666666,
30119,Miscellaneous,1462838400000,4914,4914,4914,4914,4914,4914,4914,
30107,Miscellaneous,1462838400000,2490,2490,2490,2490,2490,2490,2490,
30121,Miscellaneous,1462838400000,17624,17624,17624,17624,17624,17624,17624,
31908,Miscellaneous,1462838400000,506954,506954,506954,480572,480572,506954,489727.6,
31900,Miscellaneous,1462838400000,12190,12190,12190,12190,12190,12190,12190,
31901,Miscellaneous,1462838400000,13089,13089,13089,13650,13089,13650,13294.7,
31902,Miscellaneous,1462838400000,16263,16263,16263,16263,16263,16263,16263,
31903,Miscellaneous,1462838400000,19234,19234,19234,19234,19234,19234,19234,
31904,Miscellaneous,1462838400000,19811,19811,19811,18888,18888,19811,19195.666666666668,
31905,Miscellaneous,1462838400000,24171,24171,24171,24171,24171,24171,24171,
31906,Miscellaneous,1462838400000,19990,19990,19990,19990,19990,19990,19990,
31907,Miscellaneous,1462838400000,20857,20857,20857,20857,20857,20857,20857,
15473,Miscellaneous,1462838400000,27368,27368,27368,27368,27368,27368,27368,
15465,Miscellaneous,1462838400000,1347,1347,1347,1347,1347,1347,1347,
15466,Miscellaneous,1462838400000,3691,3691,3691,3691,3691,3691,3691,
15467,Miscellaneous,1462838400000,1575,1575,1575,1575,1575,1575,1575,
15468,Miscellaneous,1462838400000,2622,2622,2622,2622,2622,2622,2622,
15469,Miscellaneous,1462838400000,2633,2633,2633,2633,2633,2633,2633,
15470,Miscellaneous,1462838400000,4218,4218,4218,4218,4218,4218,4218,
15471,Miscellaneous,1462838400000,4925,4925,4925,4925,4925,4925,4925,
15472,Miscellaneous,1462838400000,6401,6401,6401,6119,6119,6401,6194.2,
35081,Miscellaneous,1462838400000,4680,4680,4047,3392,3392,4680,3799.5333333333333,
21768,Miscellaneous,1462838400000,5322609,5322609,5322609,5432133,5322609,5432133,5362767.8,
30030,Miscellaneous,1462838400000,6892,7052,7140,6210,6210,7140,6752.766666666666,
30004,Miscellaneous,1462838400000,565,565,603,600,565,794,670.3333333333334,
948,Miscellaneous,1462838400000,168,168,182,208,168,212,195.46666666666667,
12127,Miscellaneous,1462838400000,108,108,108,108,108,108,108,
30089,Miscellaneous,1462838400000,3377,3377,3377,3377,3377,3377,3377,
37097,Miscellaneous,1462838400000,176667,176667,176667,230000,176667,230000,178444.76666666666,
37092,Miscellaneous,1462838400000,33584,33584,33584,350000,33584,350000,44131.2,
32692,Miscellaneous,1462838400000,7574382,7574382,7539548,8161416,7302814,8161416,7694161.133333334,
29492,Miscellaneous,1462838400000,12027019,11896891,10316610,9872563,9141238,11896891,9885551.2,
33512,Miscellaneous,1462838400000,6703785,6703785,6731473,6731473,6703785,6731473,6728704.2,
29315,Miscellaneous,1462838400000,103,103,101,97,97,105,100.03333333333333,
29321,Miscellaneous,1462838400000,107,112,120,158,112,175,146.7,
36019,Miscellaneous,1462838400000,154098595,154098595,154098595,154098595,154098595,154098595,154098595,
12153,Miscellaneous,1462838400000,4440,4440,4547,4286,4286,4547,4383.266666666666,
405,Miscellaneous,1462838400000,4605,4605,4562,3940,3940,4624,4223.8,
34957,Miscellaneous,1462838400000,100450,100450,100450,97043,97043,100450,98519.36666666667,
26578,Miscellaneous,1462838400000,149,149,151,177,149,177,157.8,
962,Miscellaneous,1462838400000,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,
33625,Miscellaneous,1462838400000,204382178,204382178,177131483,102291649,102291649,204382178,146671636.13333333,
6169,Miscellaneous,1462838400000,17302,17302,17302,16945,16945,17574,17327.5,
7771,Miscellaneous,1462838400000,7433,7433,7433,7187,7187,7433,7326.4,
37227,Miscellaneous,1462838400000,758,798,1090,2000,798,2439,1630.6,
12119,Miscellaneous,1462838400000,3864,3864,3864,4025,3864,4025,3955.233333333333,
33507,Miscellaneous,1462838400000,53865,53865,51440,46530,46530,53865,49924.76666666667,
37029,Miscellaneous,1462838400000,157049,157049,157049,220000,157049,220000,159147.36666666667,
37023,Miscellaneous,1462838400000,169135,169135,169135,250000,169135,250000,171830.5,
37026,Miscellaneous,1462838400000,70000,70000,70000,70000,70000,70000,70000,
37020,Miscellaneous,1462838400000,134878,134878,134878,150000,134878,150000,135382.06666666668,
32623,Miscellaneous,1462838400000,41345,41345,46878,53717,41345,58439,51955.666666666664,
32208,Miscellaneous,1462838400000,656612,674590,584848,769577,581298,883385,718457.2,
32206,Miscellaneous,1462838400000,438447,455809,484647,529324,455809,603621,535360.9333333333,
6155,Miscellaneous,1462838400000,2637,2545,3208,2484,2376,3208,2671.4333333333334,
33934,Miscellaneous,1462838400000,7585,7955,8308,8470,7955,8572,8349.8,
33944,Miscellaneous,1462838400000,84653000,84653000,84653000,84653000,84653000,84653000,84653000,
33940,Miscellaneous,1462838400000,9881804,9881804,9881804,9881804,9881804,9881804,9881804,
33946,Miscellaneous,1462838400000,3375000,3375000,3375000,3375000,3375000,3375000,3375000,
33942,Miscellaneous,1462838400000,11936000,11936000,11936000,11936000,11936000,11936000,11936000,
33938,Miscellaneous,1462838400000,17511111,17511111,17511111,17511111,17511111,17511111,17511111,
33948,Miscellaneous,1462838400000,100489944,100489944,100489944,100489944,100489944,100489944,100489944,
33936,Miscellaneous,1462838400000,26250000,26250000,26250000,26250000,26250000,26250000,26250000,
33950,Miscellaneous,1462838400000,57622222,57622222,57622222,57622222,57622222,57622222,57622222,
33952,Miscellaneous,1462838400000,35450000,35450000,35450000,35450000,35450000,35450000,35450000,
33954,Miscellaneous,1462838400000,9934951,9934951,9934951,9934951,9934951,9934951,9934951,
33956,Miscellaneous,1462838400000,11600000,11600000,11600000,11600000,11600000,11600000,11600000,
33958,Miscellaneous,1462838400000,13065454,13065454,13065454,13065454,13065454,13065454,13065454,
33960,Miscellaneous,1462838400000,14938970,14938970,14938970,14938970,14938970,14938970,14938970,
33962,Miscellaneous,1462838400000,12137153,12137153,12137153,12137153,12137153,12137153,12137153,
981,Miscellaneous,1462838400000,259509590,259509590,259509590,247583173,247583173,259509590,255931664.9,
36390,Miscellaneous,1462838400000,71025,74219,84459,99626,74219,99626,90514.86666666667,
30055,Miscellaneous,1462838400000,81778,81778,81778,81778,81778,81778,81778,
37014,Miscellaneous,1462838400000,10471,10471,10471,20000,10471,20000,10788.633333333333,
37011,Miscellaneous,1462838400000,2094,2094,2094,30000,2094,30000,3024.2,
37017,Miscellaneous,1462838400000,3300,3300,3300,20000,3300,20000,3856.6666666666665,
30072,Miscellaneous,1462838400000,6883,6883,6882,6882,6882,6883,6882.166666666667,
30127,Miscellaneous,1462838400000,107200,107200,107200,107200,107200,107200,107200,
37072,Miscellaneous,1462838400000,176864,176864,176864,250000,176864,250000,179301.86666666667,
28545,Miscellaneous,1462838400000,5855886,5855886,5855886,5855886,5855886,5855886,5855886,
28537,Miscellaneous,1462838400000,5524888,5524888,5524888,5524888,5524888,5524888,5524888,
28543,Miscellaneous,1462838400000,5992006,5992006,6288073,6288073,5992006,6288073,6238728.5,
28539,Miscellaneous,1462838400000,10500047,10500047,10500047,11003551,10500047,11003551,10869283.266666668,
28541,Miscellaneous,1462838400000,4588928,4588928,4588928,4774248,4588928,4774248,4731006.666666667,
30082,Miscellaneous,1462838400000,236834,236834,236834,236834,236834,236834,236834,
30084,Miscellaneous,1462838400000,188387,188387,188387,188387,188387,188387,188387,
30080,Miscellaneous,1462838400000,225908,225908,225908,225908,225908,225908,225908,
21774,Miscellaneous,1462838400000,2973,2973,2973,2965,2965,2973,2971.4,
31312,Miscellaneous,1462838400000,202,199,197,219,195,229,213.83333333333334,
30056,Miscellaneous,1462838400000,1971458,1971458,1971458,1971458,1971458,1971458,1971458,
37202,Miscellaneous,1462838400000,1174,1174,803,1000,701,2062,1127.1,
12574,Miscellaneous,1462838400000,229,229,231,229,229,231,230.2,
6167,Miscellaneous,1462838400000,3639,3639,3639,3639,3639,3639,3639,
11334,Miscellaneous,1462838400000,24,24,24,22,22,24,22.933333333333334,
6171,Miscellaneous,1462838400000,313,313,313,325,313,325,313.4,
29314,Miscellaneous,1462838400000,78,78,78,86,77,91,85.13333333333334,
12125,Miscellaneous,1462838400000,70,70,70,70,70,70,70,
6814,Miscellaneous,1462838400000,189,189,194,215,189,215,200.63333333333333,
25980,Miscellaneous,1462838400000,30659,30711,33907,35859,30315,57687,42127.4,
25978,Miscellaneous,1462838400000,29846,30663,34233,37292,30246,58552,42583.36666666667,
30112,Miscellaneous,1462838400000,36110,36110,36110,36110,36110,36110,36110,
32819,Miscellaneous,1462838400000,1086,1086,1086,1103,1086,1103,1094.5,
21790,Miscellaneous,1462838400000,5045792,5167756,5691704,5731237,5167756,5954964,5755988.533333333,
29318,Miscellaneous,1462838400000,95,95,93,112,92,113,104.2,
29316,Miscellaneous,1462838400000,80,80,88,95,80,98,92.06666666666666,
288,Miscellaneous,1462838400000,693,693,678,658,622,693,662.9333333333333,
9040,Miscellaneous,1462838400000,717,717,741,749,717,750,740.2666666666667,
9028,Miscellaneous,1462838400000,986,986,1001,1008,986,1029,1008.6,
9034,Miscellaneous,1462838400000,1245,1262,1262,1286,1262,1296,1280.1666666666667,
30113,Miscellaneous,1462838400000,33378,33378,33378,33378,33378,33378,33378,
958,Miscellaneous,1462838400000,52,52,52,49,49,52,50.666666666666664,
2391,Miscellaneous,1462838400000,259,259,259,252,252,259,255.73333333333332,
12129,Miscellaneous,1462838400000,2,2,2,2,2,2,2,
6681,Miscellaneous,1462838400000,7,7,7,7,7,7,7,
6683,Miscellaneous,1462838400000,6,6,6,5,5,6,5.433333333333334,
12111,Miscellaneous,1462838400000,1724,1724,1724,1664,1664,1724,1718,
12156,Miscellaneous,1462838400000,500,500,465,538,465,538,491.8666666666667,
30111,Miscellaneous,1462838400000,1614,1614,1614,1614,1614,1614,1614,
29324,Miscellaneous,1462838400000,224,236,272,342,236,354,308.1333333333333,
31851,Miscellaneous,1462838400000,20791458,20971066,20535063,25046942,20535063,25046942,22316464.366666667,
31926,Miscellaneous,1462838400000,356906,356906,356906,361827,356906,361827,360350.7,
9026,Miscellaneous,1462838400000,559,559,559,533,533,559,557.2666666666667,
20661,Miscellaneous,1462838400000,12438,12438,11875,11774,11774,12438,11866.833333333334,
25895,Miscellaneous,1462838400000,165293,165293,173368,164573,164573,182930,174671,
36805,Miscellaneous,1462838400000,31200,31200,31200,31200,31200,31200,31200,
33506,Miscellaneous,1462838400000,198529,198529,195396,201567,195172,204128,198662.36666666667,
12572,Miscellaneous,1462838400000,229,229,219,211,211,229,216.66666666666666,
32818,Miscellaneous,1462838400000,1047,1047,1047,1033,1033,1054,1047.7,
15263,Miscellaneous,1462838400000,347,356,357,318,309,390,352.56666666666666,
36206,Miscellaneous,1462838400000,291206,291206,264376,218389,218389,291206,248108.2,
29323,Miscellaneous,1462838400000,183,192,192,220,190,242,221.4,
29320,Miscellaneous,1462838400000,101,104,107,131,103,145,125.06666666666666,
30372,Miscellaneous,1462838400000,2130,2207,2080,2070,1985,2674,2239.6,
36023,Miscellaneous,1462838400000,112006,112006,112006,100207,100207,112006,106221.73333333334,
35148,Miscellaneous,1462838400000,15950242,15950242,15846052,18635472,15175003,19269167,16659047.466666667,
35317,Miscellaneous,1462838400000,7445902,7445902,7445902,7161177,7161177,7445902,7227612.833333333,
32820,Miscellaneous,1462838400000,985,985,985,949,949,985,958.6,
36818,Miscellaneous,1462838400000,2465289,2465289,1385145,618592,604962,2465289,1065960.7333333334,
36820,Miscellaneous,1462838400000,497972397,497972397,497972397,250283068,250283068,497972397,481459775.06666666,
299,Miscellaneous,1462838400000,382,382,404,428,382,428,408.3333333333333,
7416,Miscellaneous,1462838400000,5879,5887,5621,5471,5471,6288,5882.066666666667,
7418,Miscellaneous,1462838400000,5808,5808,6078,5779,5743,6363,6090.633333333333,
2974,Miscellaneous,1462838400000,3655,3655,3552,2572,2572,3655,3160.4666666666667,
2972,Miscellaneous,1462838400000,674,674,674,676,674,696,678.2333333333333,
12130,Miscellaneous,1462838400000,567,567,567,559,559,567,562.4666666666667,
34858,Miscellaneous,1462838400000,60000,60000,60000,60000,60000,60000,60000,
33514,Miscellaneous,1462838400000,8769206,8769206,8769206,8769206,8769206,8769206,8769206,
30083,Miscellaneous,1462838400000,172159,172159,172159,172159,172159,172159,172159,
30085,Miscellaneous,1462838400000,135670,135670,135670,135670,135670,135670,135670,
30081,Miscellaneous,1462838400000,179827,179827,179827,179827,179827,179827,179827,
33622,Miscellaneous,1462838400000,17502470,17502470,15923604,12589750,12589750,17502470,14510196.666666666,
37082,Miscellaneous,1462838400000,85841,85841,85841,100000,85841,100000,86312.96666666666,
33510,Miscellaneous,1462838400000,4668459,4668459,4668459,4668459,4668459,4668459,4668459,
29313,Miscellaneous,1462838400000,38,38,44,48,38,48,43.06666666666667,
12117,Miscellaneous,1462838400000,2555,2555,2555,2555,2555,2555,2555,
30094,Miscellaneous,1462838400000,145099,145099,145099,145099,145099,145099,145099,
30105,Miscellaneous,1462838400000,43111,43111,43111,43111,43111,43111,43111,
30095,Miscellaneous,1462838400000,186385,186385,186385,186385,186385,186385,186385,
30093,Miscellaneous,1462838400000,55494,55494,55494,55494,55494,55494,55494,
30100,Miscellaneous,1462838400000,60951,60951,60951,60951,60951,60951,60951,
35781,Miscellaneous,1462838400000,18307914,18307914,17489163,16709536,16709536,18307914,17419025.1,
14616,Miscellaneous,1462838400000,8213,8213,8244,7595,7595,8347,8123.633333333333,
36207,Miscellaneous,1462838400000,1545603,1545603,1405074,959977,959977,1545603,1222087.9333333333,
36204,Miscellaneous,1462838400000,997182,997182,951555,751890,751890,997182,858501.1,
30060,Miscellaneous,1462838400000,56279,56279,56279,56279,56279,56279,56279,
28656,Miscellaneous,1462838400000,2514,2514,2569,2646,2514,2646,2586.5666666666666,
35228,Miscellaneous,1462838400000,71859,71859,64050,52775,52775,71859,63384.23333333333,
35226,Miscellaneous,1462838400000,72566,72566,63416,53355,52990,72566,63136.7,
35227,Miscellaneous,1462838400000,70142,70142,63901,45815,45815,70142,57554.1,
31041,Miscellaneous,1462838400000,68937,68937,54540,44683,44683,68937,56474.63333333333,
31042,Miscellaneous,1462838400000,67252,67252,58046,49713,49713,67252,56759.26666666667,
31043,Miscellaneous,1462838400000,7450,7442,8146,5781,5781,8146,6857.433333333333,
31044,Miscellaneous,1462838400000,33246,33246,30168,27653,27653,34730,31433.6,
9032,Miscellaneous,1462838400000,79,79,75,74,74,79,75.26666666666667,
9036,Miscellaneous,1462838400000,94,94,93,90,90,94,92.1,
12155,Miscellaneous,1462838400000,2,2,2,2,2,2,2,
12588,Miscellaneous,1462838400000,239,239,239,234,230,239,233.63333333333333,
6319,Miscellaneous,1462838400000,6720,6720,6766,8902,6655,8902,7603.8,
33505,Miscellaneous,1462838400000,333019,333019,321280,319472,286633,339714,309000,
29322,Miscellaneous,1462838400000,135,137,142,187,137,196,173.5,
21793,Miscellaneous,1462838400000,3584791,3584791,3907025,4265403,3584791,4447196,4124857.6333333333,
6165,Miscellaneous,1462838400000,5503,5503,5503,5503,5503,5503,5503,
6157,Miscellaneous,1462838400000,8583,8583,8583,7938,7938,8583,8318.7,
6159,Miscellaneous,1462838400000,9016,9016,9016,9320,9016,9320,9168,
6161,Miscellaneous,1462838400000,11476,11476,11476,11910,11476,11910,11678.533333333333,
33619,Miscellaneous,1462838400000,21479408,21479408,18721721,14878237,14878237,21479408,17433043.566666666,
30108,Miscellaneous,1462838400000,79167,79167,79167,79167,79167,79167,79167,
30122,Miscellaneous,1462838400000,1589,1589,1589,1589,1589,1589,1589,
30124,Miscellaneous,1462838400000,1150,1150,1150,1149,1149,1150,1149.8333333333333,
30125,Miscellaneous,1462838400000,8652,8652,8652,8652,8652,8652,8652,
30123,Miscellaneous,1462838400000,7685,7685,7685,7685,7685,7685,7685,
12113,Miscellaneous,1462838400000,1848,1848,1801,1801,1801,1848,1805.7,
30086,Miscellaneous,1462838400000,1771,1771,1771,1771,1771,1771,1771,
30079,Miscellaneous,1462838400000,1023654,1023654,1023653,1023653,1023653,1023654,1023653.1333333333,
30078,Miscellaneous,1462838400000,2706189,2706189,2706189,2706189,2706189,2706189,2706189,
37077,Miscellaneous,1462838400000,100000,100000,100000,100000,100000,100000,100000,
36817,Miscellaneous,1462838400000,546788,443829,443829,203944,203944,443829,394915.0333333333,
36815,Miscellaneous,1462838400000,523273,523273,523273,226028,226028,523273,458743,
36816,Miscellaneous,1462838400000,898962,898962,898962,277244,277244,898962,793700.7333333333,
11205,Miscellaneous,1462838400000,56,56,56,56,56,56,56,
30915,Miscellaneous,1462838400000,19005,19154,18853,18651,18321,20297,19269.933333333334,
6163,Miscellaneous,1462838400000,14656,14656,14656,14656,14656,14656,14656,
29317,Miscellaneous,1462838400000,103,103,103,107,101,115,108.1,
30057,Miscellaneous,1462838400000,6567,6567,6567,6567,6567,6567,6567,
31721,Miscellaneous,1462838400000,151086039,151086039,157634033,165428383,151086039,173196555,162515398.1,
12183,Miscellaneous,1462838400000,24,24,24,24,24,24,24,
31613,Miscellaneous,1462838400000,1890,1886,2041,2170,1886,2816,2331.8333333333335,
30058,Miscellaneous,1462838400000,58623,58623,58623,58623,58623,58623,58623,
21787,Miscellaneous,1462838400000,11411715,11589216,12569839,14002226,11589216,14002226,12715974.3,
12590,Miscellaneous,1462838400000,196,196,196,187,187,196,189.7,
9030,Miscellaneous,1462838400000,165,165,167,169,165,171,168.23333333333332,
9042,Miscellaneous,1462838400000,144,144,146,147,144,148,146.63333333333333,
9038,Miscellaneous,1462838400000,192,192,194,193,192,198,195.66666666666666,
6173,Miscellaneous,1462838400000,286,286,286,296,286,296,287.3333333333333,
33508,Miscellaneous,1462838400000,5145929,5145929,5145929,5266382,5145929,5266382,5174034.7,
32821,Miscellaneous,1462838400000,3589,3589,3589,3689,3589,3689,3639,
12576,Miscellaneous,1462838400000,99,99,99,102,99,102,99.93333333333334,
8837,Miscellaneous,1462838400000,49,49,49,47,47,49,48.6,
7939,Miscellaneous,1462838400000,13984,14030,13515,13607,13331,14030,13580.566666666668,
30103,Miscellaneous,1462838400000,80000,80000,80000,80000,80000,80000,80000,
30090,Miscellaneous,1462838400000,74791,74791,74791,74791,74791,74791,74791,
30101,Miscellaneous,1462838400000,76033,76033,76033,76033,76033,76033,76033,
30091,Miscellaneous,1462838400000,207469,207469,207469,207469,207469,207469,207469,
30092,Miscellaneous,1462838400000,172402,172402,172402,172402,172402,172402,172402,
7763,Miscellaneous,1462838400000,4163,4163,4163,4163,4163,4163,4163,
7767,Miscellaneous,1462838400000,3889,3889,3889,3857,3857,3889,3871.9333333333334,
7759,Miscellaneous,1462838400000,4109,4109,4109,4109,4109,4109,4109,
30059,Miscellaneous,1462838400000,61271,61271,61271,61271,61271,61271,61271,
20667,Miscellaneous,1462838400000,76116,76116,75457,75111,75111,76116,75535.36666666667,
29319,Miscellaneous,1462838400000,82,82,88,121,82,126,107.53333333333333,
30074,Miscellaneous,1462838400000,44637,44637,44637,44637,44637,44637,44637,
30104,Miscellaneous,1462838400000,50167,50167,50167,50167,50167,50167,50167,
30102,Miscellaneous,1462838400000,43732,43732,43732,43732,43732,43732,43732,
30096,Miscellaneous,1462838400000,33890,33890,33890,33890,33890,33890,33890,
30098,Miscellaneous,1462838400000,88000,88000,88000,88000,88000,88000,88000,
30097,Miscellaneous,1462838400000,41823,41823,41823,41822,41822,41823,41822.3,
30073,Miscellaneous,1462838400000,98485,98485,98485,98485,98485,98485,98485,
32092,Miscellaneous,1462838400000,6239,6337,6255,6952,6122,7017,6557.333333333333,
12121,Miscellaneous,1462838400000,19477,19477,19477,19477,19477,19477,19477,
37087,Miscellaneous,1462838400000,188865,188865,188865,275000,188865,275000,191736.16666666666,
30114,Miscellaneous,1462838400000,212,212,212,212,212,212,212,
30088,Miscellaneous,1462838400000,1368,1368,1368,1367,1367,1368,1367.9,
10891,Miscellaneous,1462838400000,7091,7091,7091,7112,6889,7112,6985.366666666667,
35985,Miscellaneous,1462838400000,80441123,80441123,80441123,80441123,80441123,80441123,80441123,
12115,Miscellaneous,1462838400000,1881,1881,1881,1846,1846,1881,1861.1666666666667,
30109,Miscellaneous,1462838400000,2494,2494,2494,2494,2494,2494,2494,
30110,Miscellaneous,1462838400000,10608,10608,10608,10608,10608,10608,10608,
30099,Miscellaneous,1462838400000,408447,408447,408447,408447,408447,408447,408447,
4798,Ammo,1462838400000,329,329,329,328,328,329,328.9,
810,Ammo,1462838400000,256,256,272,153,153,285,230.43333333333334,
829,Ammo,1462838400000,86,86,80,101,72,108,84.93333333333334,
867,Ammo,1462838400000,320,320,291,200,200,320,259.2,
804,Ammo,1462838400000,274,274,261,229,229,274,252.26666666666668,
31597,Ammo,1462838400000,629,629,657,774,629,774,714.6333333333333,
4788,Ammo,1462838400000,82,82,82,82,82,82,82,
3093,Ammo,1462838400000,1075,1075,1075,1075,1075,1075,1075,
869,Ammo,1462838400000,70,70,63,45,45,70,57.166666666666664,
4740,Ammo,1462838400000,143,150,139,136,136,155,144.16666666666666,
8882,Ammo,1462838400000,33,32,31,29,29,32,30.8,
4773,Ammo,1462838400000,36,36,36,36,36,36,36,
806,Ammo,1462838400000,23,23,21,20,20,23,20.866666666666667,
825,Ammo,1462838400000,17,17,17,17,17,17,17,
864,Ammo,1462838400000,18,18,18,17,17,18,17.866666666666667,
800,Ammo,1462838400000,7,7,6,6,6,7,6.1,
13957,Ammo,1462838400000,2869,2869,2869,2869,2869,2869,2869,
2,Ammo,1462838400000,446,460,475,507,429,529,472.26666666666665,
10033,Ammo,1462838400000,1229,1287,1175,945,933,1287,1038.8333333333333,
31595,Ammo,1462838400000,767,806,806,931,806,931,854.4333333333333,
13953,Ammo,1462838400000,4335,4335,4335,4308,4308,4335,4323.3,
31598,Ammo,1462838400000,1426,1426,1499,1462,1426,1572,1506.6666666666667,
11230,Ammo,1462838400000,470,464,447,360,360,464,422.26666666666665,
35115,Ammo,1462838400000,649,649,649,632,632,649,637.1,
31375,Ammo,1462838400000,2947,2947,2888,2852,2852,2947,2891.5333333333333,
29543,Ammo,1462838400000,752,765,789,992,765,1022,892.8666666666667,
10142,Ammo,1462838400000,82,82,82,80,80,82,81.16666666666667,
15243,Ammo,1462838400000,150,150,152,150,146,152,150.13333333333333,
10145,Ammo,1462838400000,182,182,182,209,175,252,202.33333333333334,
4778,Ammo,1462838400000,26,26,26,26,26,26,26,
807,Ammo,1462838400000,13,13,12,11,11,13,11.866666666666667,
826,Ammo,1462838400000,14,14,14,13,13,14,13.566666666666666,
863,Ammo,1462838400000,61,61,60,45,45,61,54.2,
801,Ammo,1462838400000,11,11,10,10,10,11,10.2,
10158,Ammo,1462838400000,26,26,25,22,22,26,24.2,
10159,Ammo,1462838400000,64,64,64,64,64,64,64,
10143,Ammo,1462838400000,138,138,136,132,132,138,134.4,
36391,Ammo,1462838400000,28968,28968,29608,28634,28634,29608,29446.6,
9419,Ammo,1462838400000,1900,1900,2115,2040,1900,2622,2273.4,
4793,Ammo,1462838400000,385,385,385,373,373,385,379,
809,Ammo,1462838400000,62,62,57,38,38,62,49.13333333333333,
828,Ammo,1462838400000,116,116,111,88,88,116,101.43333333333334,
866,Ammo,1462838400000,120,120,114,82,82,120,100.2,
803,Ammo,1462838400000,47,47,47,39,39,47,42.9,
13879,Ammo,1462838400000,12991,12991,12991,13414,12991,13414,13160.2,
13883,Ammo,1462838400000,8942,8942,8942,8302,8302,8942,8630.2,
25914,Ammo,1462838400000,28,28,28,26,26,28,27.266666666666666,
25900,Ammo,1462838400000,266,266,266,254,254,266,260,
25907,Ammo,1462838400000,87,87,87,83,83,87,84.86666666666666,
25912,Ammo,1462838400000,86,86,86,86,86,86,86,
25902,Ammo,1462838400000,23,23,21,19,19,23,20.1,
25909,Ammo,1462838400000,16,16,16,16,16,16,16,
25897,Ammo,1462838400000,31,31,31,29,29,31,30.066666666666666,
25903,Ammo,1462838400000,2,2,2,2,2,2,2,
25916,Ammo,1462838400000,461,461,448,422,422,461,441.1,
35116,Ammo,1462838400000,455,455,455,462,455,462,458.26666666666665,
31376,Ammo,1462838400000,1337,1337,1335,1276,1276,1337,1312.0333333333333,
29544,Ammo,1462838400000,523,523,571,895,523,895,703.8333333333334,
