ID,timestamp,price_now,price_one,price_seven,price_thirty,thirty_min,thirty_max,thirty_avg
35117,1462838400000,399980704,399980704,399980704,399980704,399980704,399980704,399980704
21736,1462838400000,111380,111380,115426,116733,111380,116733,115274.46666666666
21742,1462838400000,75353,75353,75353,75353,75353,75353,75353
21760,1462838400000,1827830,1827830,1915616,2106374,1827830,2106374,2007190.1333333333
21766,1462838400000,839785,839785,839785,839785,839785,839785,839785
21752,1462838400000,3020282,3020282,3171026,3409366,3020282,3409366,3265798.533333333
21758,1462838400000,2055556,2055556,2055556,2055556,2055556,2055556,2055556
21744,1462838400000,104531,104531,104531,113550,104531,113550,109274.6
21750,1462838400000,50782,50782,50782,50782,50782,50782,50782
12622,1462838400000,241,241,230,224,224,241,229.06666666666666
33870,1462838400000,2480202,2585594,2511336,2877540,2453031,3014268,2765371.6333333333
30054,1462838400000,39999,39999,39999,39999,39999,39999,39999
30087,1462838400000,464,464,464,463,463,464,463.26666666666665
21777,1462838400000,9511026,9511026,9143445,9453139,9119737,10093472,9651531.7
30117,1462838400000,228,228,228,227,227,228,227.5
30118,1462838400000,42009,42009,42009,42009,42009,42009,42009
30116,1462838400000,41584,41584,41584,41584,41584,41584,41584
30126,1462838400000,16749,16749,16749,16749,16749,16749,16749
30115,1462838400000,5114,5114,5114,5114,5114,5114,5114
30106,1462838400000,12873,12873,12873,12873,12873,12873,12873
21773,1462838400000,397,397,400,348,348,400,375.3666666666667
28445,1462838400000,250149,260246,256051,331913,255571,344213,295829.3
28451,1462838400000,150933,157487,137054,174036,134203,182508,151146.26666666666
28453,1462838400000,101943,107080,114184,155338,106701,157169,121547.5
28447,1462838400000,198840,208307,193925,230148,186121,230148,201847.6
28455,1462838400000,134916,140148,126961,173767,123509,182706,146732.2
28449,1462838400000,111582,114926,104231,158692,104231,160690,126629.1
28436,1462838400000,369,371,380,364,351,384,368.6666666666667
28640,1462838400000,562,562,562,563,562,563,562.5666666666667
28646,1462838400000,332,332,332,332,332,332,332
28648,1462838400000,1312,1312,1345,1314,1312,1354,1343.3
28644,1462838400000,169,169,169,169,169,169,169
28642,1462838400000,112,112,112,112,112,112,112
